UUID,Überbegriff,Thema,Subthema,Beschreibung,AWS,GCP,Azure
b564cab1-647d-4ca5-9129-f8c2615f396c,Regulatorik,Information Security / Governance,SGB X compliance,Der Cloud-Service-Provider gewährleistet die Einhaltung der SGB X-Vorgaben zur Informationssicherheit und Governance.,False,False,False
b217ce18-f515-49d1-964b-2598612ec80b,Regulatorik,Information Security / Governance,TISAX,TISAX (Trusted Information Security Assessment Exchange) ist ein standardisiertes Prüf- und Austauschverfahren zur Sicherstellung der Informationssicherheit in der Automobilindustrie.,True,True,True
bbfbc8bb-ecde-419e-b21a-dbcaaa5a6dfa,Regulatorik,Information Security / Governance,Metadaten innerhalb der EU,Der Cloud-Service-Provider gewährleistet die Einhaltung europäischer Datenschutzvorschriften durch die sichere Verwaltung und Verarbeitung von Metadaten innerhalb der EU.,True,True,False
8982f0e8-b945-4d9c-98c5-279bd66ff148,Regulatorik,Data Center,DIN/EN 50600 ,"Die DIN/EN 50600 legt Anforderungen an die Planung, den Betrieb und die Sicherheit von Rechenzentren fest, um eine hohe Verfügbarkeit und Effizienz zu gewährleisten.",False,False,False
79f0332c-797d-4225-bc3e-d4a39c0112b4,Regulatorik,Data Center,ISO/IEC 22237,"ISO/IEC 22237 legt Anforderungen und Empfehlungen für die Planung, den Betrieb und die Sicherheit von Rechenzentren fest, um deren Effizienz und Zuverlässigkeit zu gewährleisten.",False,False,False
a91ce46c-2c30-4ca8-9342-cfd343ce78b9,Regulatorik,Quality Management,ISO 9001,"Der Cloud-Service-Provider erfüllt die ISO 9001-Norm für Qualitätsmanagement, um kontinuierliche Verbesserung und Kundenzufriedenheit sicherzustellen.",True,True,True
fc6d0a42-2685-4817-9fc3-7e25e4f04e3d,Regulatorik,Quality Management,ISAE 3402 Type II ,"ISAE 3402 Type II bescheinigt die Wirksamkeit interner Kontrollsysteme eines Cloud-Service-Providers über einen definierten Zeitraum hinweg, um die Qualität und Sicherheit der erbrachten Dienstleistungen zu gewährleisten.",True,True,True
d2205845-ec35-4f75-850d-d3eef8b31d67,Regulatorik,Notfall-Management,BSI 100-4,Der Cloud-Service-Provider gewährleistet ein effektives Notfall-Management gemäß den Vorgaben der BSI 100-4 zur Sicherstellung der Betriebsfähigkeit und Datenintegrität im Krisenfall.,False,False,False
f7c23c95-1aca-4368-9c50-076ece926af4,Regulatorik,Notfall-Management,BSI 200-4,Der Cloud-Service-Provider gewährleistet ein effektives Notfall-Management gemäß den Anforderungen des BSI 200-4 zur Sicherstellung der Betriebsfähigkeit und Datenintegrität im Krisenfall.,False,False,False
d4f43bde-7d2b-4fe2-85b4-5c5b5e6a002d,Regulatorik,Notfall-Management,ISO 22301,"Der Cloud-Service-Provider erfüllt die ISO 22301-Norm für Notfall-Management, um die Kontinuität von Dienstleistungen im Krisenfall sicherzustellen.",True,True,True
31c92789-150f-4881-903a-b1dd8b48f8c3,Regulatorik,Barrierefreiheit,BITV 2.0,"Der Cloud-Service-Provider erfüllt die Anforderungen der BITV 2.0 zur Barrierefreiheit, um eine uneingeschränkte Nutzung für alle Menschen zu gewährleisten.",False,False,False
082fe463-9597-48c4-9a61-4c88a5ef45eb,Regulatorik,Barrierefreiheit,EU 2019/882,"Der Cloud-Service-Provider erfüllt die Anforderungen der EU-Verordnung 2019/882 zur Barrierefreiheit, um sicherzustellen, dass digitale Dienste für alle Nutzer zugänglich sind.",False,False,False
5de6aadf-acde-44f3-853b-2e535d16de0c,Regulatorik,Nachhaltigkeit,Blauer Engel Energieeffizienter Rechenzentrumbetrieb (DE-UZ 161),Der Cloud-Service-Provider erfüllt die Regulierungsanforderungen des Blauen Engels für energieeffizienten Rechenzentrumbetrieb (DE-UZ 161) und fördert somit nachhaltige IT-Lösungen.,False,False,False
5a1cda89-8c8b-4459-8c40-d39e1849bf7f,Regulatorik,Nachhaltigkeit,TSI-Zertifikat inklusive PUE-Stempel gemäß TÜVIT verfügen.,"Der Cloud-Service-Provider verfügt über das TSI-Zertifikat mit PUE-Stempel gemäß TÜVIT, das nachhaltige Betriebsstandards bescheinigt.",False,False,False
d9651c4f-ce32-43b9-879d-7f0586698a20,Regulatorik,Nachhaltigkeit,ISO 50001,Der Cloud-Service-Provider erfüllt die ISO 50001-Norm zur Verbesserung des Energiemanagements und zur Förderung nachhaltiger Praktiken.,True,True,False
8b243522-606d-43f1-b088-3f79dd2e924f,PaaS,Managed DBs,MongoDB,"Managed MongoDB-Datenbanken in einer PaaS-Umgebung bieten skalierbare, wartungsfreie Lösungen für die effiziente Speicherung und Verwaltung von JSON-ähnlichen Dokumenten.",True,True,True
728e3b9f-ecb7-4cca-b655-12fd7a244418,PaaS,Managed DBs,MariaDB,"Managed MariaDB-Datenbanken in einer PaaS-Umgebung bieten skalierbare, wartungsfreie Datenbanklösungen mit automatisierten Backups und Sicherheitsupdates.",True,True,True
f28c4916-a905-4cb7-a6bf-1680a92a1b20,PaaS,Managed DBs,My SQL,"Managed MySQL-Datenbanken in einer PaaS-Umgebung bieten automatisierte Verwaltung, Skalierbarkeit und hohe Verfügbarkeit für Entwickler.",True,True,True
8c92ce18-cd39-450b-a19a-8190962ce7fd,PaaS,Managed DBs,Postgre SQL,"Managed PostgreSQL-Datenbanken in einer PaaS-Umgebung bieten automatisierte Verwaltung, Skalierbarkeit und hohe Verfügbarkeit für Entwickler.",True,True,True
4f18763b-169e-4876-b0cb-bc6d530c617e,PaaS,Managed DBs,Oracle DB,"Managed Oracle DBs in PaaS bieten skalierbare, verwaltete Datenbanklösungen mit automatisierten Backups und Sicherheitsupdates.",True,False,True
1d8129ce-a861-4cce-8a83-d912c4b9486e,PaaS,Managed DBs,MS SQL,"Managed MS SQL-Datenbanken in einer PaaS-Umgebung bieten skalierbare, wartungsfreie Datenbanklösungen mit automatisierten Backups und Sicherheitsupdates.",True,True,True
6f6b65df-1051-4f43-b843-4f566245b96a,PaaS,Managed DBs,DataWarehouse Lösung,"Managed Data Warehouse-Lösungen in PaaS bieten skalierbare, verwaltete Datenanalysen und -speicherung ohne Infrastrukturaufwand.",True,True,True
ea49d501-105e-4c6d-84b3-3c1c86206195,PaaS,Messaging Lösung ,Pub Sub,Eine PaaS-Messaging-Lösung im Pub/Sub-Modell ermöglicht asynchrone Kommunikation zwischen Anwendungen durch das Veröffentlichen und Abonnieren von Nachrichten.,True,True,True
a2817714-a881-485b-b56e-b16991faed22,PaaS,Messaging Lösung ,Apache Kafka,"Eine PaaS-Lösung für Messaging, die Apache Kafka nutzt, ermöglicht skalierbare und fehlertolerante Datenströme in Echtzeit.",True,True,True
73493584-f748-4f47-8a8d-204eb311ac47,PaaS,Messaging Lösung ,MQTT,Eine PaaS-Messaging-Lösung mit MQTT ermöglicht die effiziente und skalierbare Kommunikation zwischen IoT-Geräten durch ein leichtgewichtiges Publish-Subscribe-Protokoll.,True,True,True
e9b1970e-4a92-4946-bebf-799e3879b671,Container Orchrestierung,Kubernetes,OpenShift,"OpenShift ist eine Kubernetes-basierte Plattform zur Container-Orchestrierung, die Entwicklern eine vereinfachte Bereitstellung, Verwaltung und Skalierung von Anwendungen in Containern ermöglicht.",True,True,True
91eeef41-b425-4d80-9c7d-ed68e7b0c1b3,Container Orchrestierung,Kubernetes,Kubernetes,"Kubernetes ermöglicht die automatisierte Bereitstellung, Skalierung und Verwaltung von containerisierten Anwendungen in einer Cloud-Umgebung.",False,False,False
baac8fb2-4af6-4019-a074-fa377c39ff75,Container Orchrestierung,Kubernetes,Tanzu,Tanzu ermöglicht die einfache Verwaltung und Orchestrierung von Kubernetes-Containern in Cloud-Umgebungen.,True,True,True
f3fe5f7f-1344-41b4-8c9a-aa41ec333939,Container Orchrestierung,Docker Swarm,Docker Swarm,Docker Swarm ermöglicht die einfache Verwaltung und Orchestrierung von Container-Clustern zur Skalierung und Bereitstellung von Anwendungen in einer Cloud-Umgebung.,True,False,True
6a3f8aeb-007d-4346-b349-107559f6cc6a,IaaS,Compute-Architektur,ARM,"IaaS-Anbieter bieten eine Compute-Architektur auf Basis von ARM-Prozessoren, die energieeffiziente und skalierbare Rechenressourcen für Anwendungen bereitstellt.",True,True,True
b14a79b7-ff4b-4c8f-ae79-6fe06ae4bb1b,IaaS,Compute-Architektur,Intel,IaaS-Anbieter bieten skalierbare Compute-Architekturen auf Basis von Intel-Prozessoren für leistungsstarke und flexible Cloud-Lösungen.,True,True,True
69f75d9c-66c0-4c9f-8746-a1aebb038b16,IaaS,Compute-Architektur,AMD,"IaaS-Anbieter mit AMD-Compute-Architektur bieten leistungsstarke, skalierbare Rechenressourcen für anspruchsvolle Anwendungen.",True,True,True
58b60d23-3fe6-4044-8b51-3deaabed3e93,IaaS,Compute-Architektur,TPU,"IaaS-Anbieter bieten TPU-basierte Compute-Architekturen, die speziell für maschinelles Lernen und KI-Workloads optimiert sind.",False,True,False
207b591d-a7fd-4d5c-9a76-63ab2b2805dc,IaaS,Compute-Architektur,GPU,IaaS-Anbieter bieten skalierbare GPU-Ressourcen für rechenintensive Anwendungen und maschinelles Lernen in der Cloud.,True,True,True
f544c3eb-b9b5-44a5-8239-0c6a10c1412c,IaaS,Hosting-Modell,Public Cloud,"IaaS in der Public Cloud bietet skalierbare virtuelle Ressourcen über das Internet, die von einem Drittanbieter bereitgestellt und verwaltet werden.",True,True,True
e724915a-abb3-4290-bd30-dab8c99c1f59,IaaS,Hosting-Modell,Private Cloud,"Private Cloud IaaS bietet dedizierte Ressourcen und Infrastruktur in einer isolierten Umgebung, die exklusiv für ein einzelnes Unternehmen bereitgestellt wird.",True,True,True
628f37e3-bbde-4fe2-8883-439ac2000b05,IaaS,Hosting-Modell,Bare Metal,"Bare Metal IaaS bietet dedizierte physische Serverressourcen ohne Virtualisierung, die maximale Leistung und Kontrolle für anspruchsvolle Anwendungen gewährleisten.",True,True,True
ee1adc8a-8f96-4843-b0e6-10c020c80b62,IaaS,Verfügbarkeit,High Availability,IaaS-Anbieter gewährleisten durch redundante Systeme und automatisierte Failover-Mechanismen eine hohe Verfügbarkeit ihrer Dienste.,True,True,True
cbb6a9e1-b338-408b-908e-4a9b83d566e5,IaaS,Verfügbarkeit,Datenreplikation in Echtzeit,Echtzeit-Datenreplikation gewährleistet die kontinuierliche Verfügbarkeit und Ausfallsicherheit von IaaS-Diensten durch sofortige Synchronisation von Daten über mehrere Standorte.,True,True,True
fa9471ae-f748-4397-a4d1-7e8ff117a937,IaaS,Verfügbarkeit,Georedundanz 200 km,IaaS-Anbieter gewährleisten durch Georedundanz innerhalb von 200 km eine hohe Verfügbarkeit und Ausfallsicherheit ihrer Dienste.,True,True,True
ef678430-cd54-4a5e-85cc-a8b19b237551,IaaS,Verfügbarkeit,Synchrone Spiegelung,"Synchrone Spiegelung in IaaS gewährleistet die Echtzeit-Datenreplikation zwischen mehreren Standorten, um maximale Verfügbarkeit und Ausfallsicherheit zu gewährleisten.",True,True,True
b5e33642-2ef7-4e2d-8a2d-9b1188244c95,IaaS,Verfügbarkeitszonen,Brandabschnitte,Verfügbarkeitszonen in IaaS bieten durch physisch getrennte Brandabschnitte erhöhte Ausfallsicherheit und Redundanz für Cloud-Ressourcen.,False,False,False
940860f8-94db-4f66-ae0a-cb4e64f83d58,IaaS,VM Export,OVF ,IaaS-Anbieter ermöglichen den Export von virtuellen Maschinen im OVF-Format für einfache Portabilität und Migration.,False,False,False
8c77af97-042b-4ae8-a62a-ac068d0161d9,IaaS,VM Export,OVA,IaaS-Anbieter ermöglichen den Export von virtuellen Maschinen im OVA-Format für einfache Portabilität und Migration.,True,False,False
1e0b4968-87e4-4b22-9b66-3ac4faa6b713,IaaS,VM Export,RAW,IaaS-Anbieter ermöglichen den Export von virtuellen Maschinen im RAW-Format für flexible Datenmigration und Backup.,True,True,False
f7ad8aa8-8e5c-4ab2-8a11-453256c818d5,IaaS,VM Export,qcow2,IaaS-Anbieter ermöglichen den Export von virtuellen Maschinen im qcow2-Format für flexible Nutzung und Migration.,False,False,False
6352e9e6-7fa9-439f-8f05-ccc1e0dff745,IaaS,Storage,Block Storage,"Block Storage in IaaS bietet skalierbaren, leistungsstarken Speicher, der in Form von Blöcken organisiert ist und sich ideal für Datenbanken und Anwendungen mit hohem I/O-Bedarf eignet.",True,True,True
3cb913fd-9a88-4fe6-bb3c-0ff7312bcfc9,IaaS,Storage,Blob Storage,"Blob Storage in IaaS ermöglicht die Speicherung und Verwaltung unstrukturierter Daten in skalierbaren, kosteneffizienten Objektspeichern.",True,True,True
63313028-dbc9-4546-a5fe-9d32696bb589,IaaS,Backup,Managed DB Backup,"Managed DB Backup in IaaS bietet automatisierte, zuverlässige und skalierbare Sicherungslösungen für Datenbanken, um Datenverlust zu verhindern und die Wiederherstellung zu erleichtern.",True,True,True
591b83e1-1648-4ba4-b39a-0a4b2fc41cc6,IaaS,Backup,File Backup without Agent,"IaaS-Anbieter ermöglichen Dateisicherungen ohne Agenten, wodurch eine einfache und effiziente Datensicherung direkt auf der Cloud-Infrastruktur erfolgt.",True,True,True
62ede8d8-014d-47c0-885a-4da22759b970,IaaS,NAS,CIFS,IaaS-Anbieter bieten NAS-Lösungen mit CIFS-Protokoll für effizienten Dateizugriff und -freigabe in Cloud-Umgebungen an.,True,True,True
8efeeb66-3c80-4ecc-8a6e-5cef0c3669b9,IaaS,NAS,NFS,"IaaS-Anbieter bieten NAS-Lösungen mit NFS-Protokoll für effizienten, netzwerkbasierten Speicherzugriff und -verwaltung.",True,True,True
3de46d2a-9a9b-4cf2-9e8b-ddb8c2d5daf8,Netzwerk,Netzwerkdurchsatz,3 Gbit/s,Der Cloud-Service-Provider bietet einen Netzwerkdurchsatz von bis zu 3 Gbit/s für optimale Datenübertragung.,True,True,True
0e505aec-9654-4cd9-a933-088cb20bc7ca,Netzwerk,Netzwerkdurchsatz,5 Gbit/s,Der Cloud-Service-Provider bietet einen Netzwerkdurchsatz von bis zu 5 Gbit/s für optimale Datenübertragung.,True,True,True
05659f33-d568-4a8b-bf37-b9dd877524c4,Netzwerk,Netzwerkdurchsatz,10 Gbit/s,Der Cloud-Service-Provider bietet einen Netzwerkdurchsatz von bis zu 10 Gbit/s für optimale Datenübertragungsgeschwindigkeiten.,True,True,False
5e26f2c9-77a2-4f1c-b8d5-58c2de74d846,Netzwerk,Netzwerkdurchsatz,Größer 10Gbit/s ,Netzwerkdurchsatz von über 10 Gbit/s für hohe Datenübertragungsraten und optimale Performance.,True,True,False
c66e9f48-b222-4bda-a12b-8fc105c7d354,Netzwerk,Datenübertragung,Standleitung,"Standleitungen ermöglichen eine dedizierte, stabile und hochverfügbare Datenübertragung zwischen Standorten in einem Cloud-Service-Netzwerk.",True,True,True
18e47c10-00a6-4d1a-b74f-d9a11ed1f806,Netzwerk,Datenübertragung,VPN,Sichere Datenübertragung über ein virtuelles privates Netzwerk (VPN) zur Gewährleistung von Datenschutz und Integrität.,True,True,True
fcf8127e-7089-404f-9fd6-7450fde933fc,Netzwerk,Netzwerkservices,CDN,"Ein Content Delivery Network (CDN) optimiert die Bereitstellung von Inhalten durch geografisch verteilte Server, um Ladezeiten zu verkürzen und die Benutzererfahrung zu verbessern.",True,True,True
c40f50bc-578a-4ebc-93ea-1d203352e51c,Netzwerk,Netzwerkservices,WAF,"Ein Web Application Firewall (WAF) schützt Anwendungen vor bösartigen Angriffen, indem er den HTTP/S-Verkehr überwacht und filtert.",True,True,True
ea7716dd-f97e-4591-81b2-39b060ef4976,Netzwerk,Netzwerkservices,DDoS,"DDoS-Schutzdienste bieten effektive Abwehrmechanismen gegen verteilte Denial-of-Service-Angriffe, um die Verfügbarkeit von Cloud-Ressourcen sicherzustellen.",True,True,True
c11c3562-2842-4729-bdd6-e38fbd234070,Netzwerk,Netzwerkservices,VPN,"VPN-Dienste ermöglichen sichere, verschlüsselte Verbindungen über öffentliche Netzwerke, um den Zugriff auf private Netzwerke zu schützen.",True,True,True
b3706e5a-4330-4b81-b1b3-0cf9c02a39fc,Netzwerk,Netzwerkservices,DNS mit DDoS,Zuverlässige DNS-Dienste mit integrierter DDoS-Abwehr für optimalen Schutz und Verfügbarkeit.,True,True,True
179111d0-f5b9-4c74-8c24-54e2c564378e,Netzwerk,Netzwerkservices,DNS,Zuverlässige und skalierbare DNS-Dienste zur schnellen Auflösung von Domainnamen und Optimierung der Netzwerkleistung.,False,False,False
aecc8372-b3e7-410e-8395-520303194412,Netzwerk,Netzwerkservices,DHCP,DHCP-Netzwerkservices ermöglichen die automatische Zuweisung von IP-Adressen an Geräte in einem Netzwerk.,True,True,True
2fd8216f-af20-40fd-91be-f065953fa4f3,Netzwerk,Netzwerkservices,NTP,Zuverlässige Netzwerkservices bieten präzise Zeitstempel über das Network Time Protocol (NTP) zur Synchronisation von Systemuhren in verteilten Umgebungen.,True,True,True
ed7707d9-bd6c-43c3-9039-fc3e27bc890c,Netzwerk,Netzwerkservices,Big IP F5,Big IP F5 bietet leistungsstarke Netzwerkservices zur Optimierung von Anwendungsbereitstellung und Sicherheit in Cloud-Umgebungen.,False,True,False
da10f8a5-9c20-4a1c-b048-f2b979e315dc,Netzwerk,SDN ,Routing Tables,"SDN ermöglicht dynamisches Routing durch zentral verwaltete Routing-Tabellen, die eine flexible Netzwerksteuerung und -optimierung bieten.",True,True,True
73793b59-afa1-4683-ba7e-daf552060a44,Netzwerk,SDN ,BGP ,SDN-gestütztes BGP ermöglicht eine dynamische und flexible Verwaltung von Netzwerkpfaden in Cloud-Umgebungen.,True,True,True
b8c82508-bffb-4c3d-af76-777a6e3fab4a,Netzwerk,SDN ,Layer-2-Netzwerk,"Ein Layer-2-Netzwerk im SDN ermöglicht die flexible Verwaltung und Steuerung von Datenverkehr auf der zweiten Schicht des OSI-Modells, um Effizienz und Skalierbarkeit in Cloud-Umgebungen zu gewährleisten.",False,False,False
b9b86e47-c9ff-4d4e-a66d-27bf2f728262,Netzwerk,SDN ,VLANs ,"Ein Cloud-Service-Provider ermöglicht die flexible Verwaltung von VLANs durch Software-Defined Networking (SDN), um Netzwerkressourcen effizient zu segmentieren und zu steuern.",True,True,False
4a44b517-7d15-42ee-bb60-4f78ca89fa53,Netzwerk,SDN ,SD-WAN,"SD-WAN ermöglicht eine flexible, zentralisierte Verwaltung und Optimierung von Wide Area Networks über Software-defined Networking.",True,True,True
551bc787-ed54-49d1-90e3-a64159e1beeb,Netzwerk,SDN ,Shared VPCs,"Shared VPCs ermöglichen es mehreren Projekten innerhalb eines Cloud-Service-Providers, ein gemeinsames virtuelles privates Netzwerk zu nutzen, um Ressourcen effizient zu teilen und zu verwalten.",True,True,True
aaa13611-911b-4c2b-9cd3-363aafadbc2d,Netzwerk,SDN ,Stateful Firewall,"Eine Stateful Firewall im Rahmen von SDN ermöglicht die dynamische Überwachung und Steuerung des Netzwerkverkehrs, indem sie den Zustand aktiver Verbindungen analysiert und Sicherheitsrichtlinien entsprechend anpasst.",True,True,True
bb64302c-0b94-40bd-85bc-0288a706e519,Netzwerk,SDN ,Stateless Firewall (NACL),"Eine Stateless Firewall (NACL) in einem SDN-Umfeld ermöglicht die schnelle und effiziente Filterung von Netzwerkverkehr basierend auf vordefinierten Regeln, ohne den Zustand der Verbindungen zu verfolgen.",True,True,True
1402eae2-6afe-473c-805e-911e3a0f8924,Verschlüsselung,Storage,Block,Verschlüsselung von Blockspeicher zur Sicherstellung der Datensicherheit und Vertraulichkeit in der Cloud.,True,True,True
67519097-b554-4c13-9287-e10c760bdf5a,Verschlüsselung,Storage,Blob,Verschlüsselung von Blob-Speicher zur Sicherstellung der Datensicherheit und Vertraulichkeit in der Cloud.,True,True,True
9b1f2627-4721-4add-8429-37e549e469e8,Verschlüsselung,Storage,Backup,Verschlüsselung von Backup-Daten im Cloud-Speicher schützt vor unbefugtem Zugriff und gewährleistet Datensicherheit.,True,True,True
28ac3742-e830-4c0e-b15b-116107c06308,Verschlüsselung,Data in Transit,VLAN,"VLANs bieten eine isolierte Netzwerkumgebung zur sicheren Übertragung von Daten in Transit, indem sie den Datenverkehr segmentieren und vor unbefugtem Zugriff schützen.",True,True,False
db897c1a-8074-4339-aa78-f0283a1ba4e6,Verschlüsselung,Data in Transit,VPC,Verschlüsselung von Daten in Transit innerhalb einer Virtual Private Cloud (VPC) gewährleistet die sichere Übertragung sensibler Informationen zwischen Ressourcen.,True,True,True
7df491a0-8a7f-4447-86af-d3a748428102,Verschlüsselung,Data in Transit,COS-06,"Sicherstellung der Verschlüsselung von Daten während der Übertragung zwischen Systemen, um Vertraulichkeit und Integrität zu gewährleisten.",False,False,False
0555abc6-4755-4885-b21b-2bd0c69d8d70,Verschlüsselung,Schlüsselmanagement,Bring Your Own Key,"""Bring Your Own Key ermöglicht es Nutzern, ihre eigenen Verschlüsselungsschlüssel zu verwalten und die Kontrolle über ihre Daten in der Cloud zu behalten.""",True,True,True
b2168ce5-4579-484a-82f3-2f95ef5bc40d,Verschlüsselung,Schlüsselmanagement,Bring Your Own Encryption + Hardware Security Module,Der Cloud-Service-Provider ermöglicht Bring Your Own Encryption (BYOE) in Verbindung mit einem Hardware Security Module (HSM) für sicheres Schlüsselmanagement.,True,True,True
8dd8752a-db38-4c9a-b5ed-7deedba2829f,Eviden CloudOps ,Service Desk Location Germany,24/7,Eviden CloudOps bietet einen rund um die Uhr erreichbaren Service Desk in Deutschland für umfassenden Support.,False,False,False
efd4b3cd-afae-42d0-a215-bb1b8779c7b1,Eviden CloudOps ,Service Desk Location Germany,10/5,Eviden CloudOps bietet einen Service Desk in Deutschland mit einer Erreichbarkeit von 10 Stunden an 5 Tagen pro Woche.,False,False,False
91f1d8a7-7acf-48a7-a59f-20dedc97a48d,Eviden CloudOps ,Service Desk Location Europa,24/7,Eviden CloudOps bietet einen 24/7 Service Desk in Europa für umfassende Unterstützung.,False,False,False
00df3b90-9d7e-4736-8add-5c9e2d18c938,Eviden CloudOps ,Service Desk Location Europa,10/5,Eviden CloudOps bietet einen Service Desk in Europa mit einer Erreichbarkeit von 10 Stunden an 5 Tagen pro Woche.,False,False,False
dc18a098-0b9d-4946-9785-7d03d872f90e,Eviden CloudOps ,Service Desk Location Welt,24/7,Eviden CloudOps bietet einen globalen 24/7-Service Desk für umfassende Unterstützung rund um die Uhr.,False,False,False
abeed9ab-0527-41e7-8e22-557a6384ffd3,Eviden CloudOps ,Service Desk Location Welt,10/5,"Eviden CloudOps bietet einen globalen Service Desk mit 10/5 Unterstützung, um Kunden rund um die Uhr in fünf verschiedenen Zeitzonen zu betreuen.",False,False,False
45389709-fe05-4e8a-a7bb-e91c634830ef,OpenShift Betrieb,"onsite (german, english)",24/7,Rund-um-die-Uhr-Onsite-Betrieb von OpenShift für maximale Verfügbarkeit und Unterstützung.,False,False,False
2da31640-0839-44bd-9e91-befafc7a9185,OpenShift Betrieb,"onsite (german, english)",10/5,"Onsite-Betrieb von OpenShift ermöglicht eine flexible, lokale Container-Orchestrierung und -Verwaltung für Unternehmen.",True,True,True
09ab35b5-2ca2-4ed5-90f9-ae264cbef7c8,OpenShift Betrieb,nearshore  (english),24/7,"""24/7 Nearshore-Betrieb von OpenShift für kontinuierliche Verfügbarkeit und Unterstützung.""",False,False,False
dd24116c-beca-46fc-9d56-9d35c79c8951,OpenShift Betrieb,nearshore  (english),10/5,"Nearshore OpenShift-Betrieb bietet kosteneffiziente, qualitativ hochwertige Cloud-Dienste mit flexibler Zeitzonenabdeckung und direkter Kommunikation.",True,True,True
be62861d-d7d9-4b85-9521-03d9514c3938,OpenShift Betrieb,offshore (english),24/7,Rund-um-die-Uhr Offshore-Betrieb von OpenShift für maximale Verfügbarkeit und Unterstützung.,True,True,True
033e1a68-0ecd-427a-8d25-44b0877f0460,OpenShift Betrieb,offshore (english),10/5,Offshore-Betrieb von OpenShift mit 10/5-Support für optimale Verfügbarkeit und Leistung.,True,True,True
7900b2f3-75be-431f-91a0-99a901428314,Speicher- und Datenmanagement,Zugriffsrechte ,RWX (Read Write Many),RWX (Read Write Many) ermöglicht mehreren Benutzern den gleichzeitigen Lese- und Schreibzugriff auf dieselben Daten in einem Cloud-Speicher.,False,True,True
504bfa11-d1fb-4b06-a23b-7f1583692233,Speicher- und Datenmanagement,Kubernetes,Read  kleiner 256.000 IOPS,Kubernetes unterstützt eine Leseleistung von weniger als 256.000 IOPS für effizientes Speicher- und Datenmanagement.,False,True,True
376b24b7-f7d1-46f7-8914-c84e4351912d,Speicher- und Datenmanagement,Kubernetes,Read  ab 256.000 IOPS,Kubernetes unterstützt Speicher- und Datenmanagement mit einer Leseleistung von über 256.000 IOPS für optimale Anwendungsperformance.,False,False,False
a35034f8-ed70-4d0b-91cb-9312308a0365,Speicher- und Datenmanagement,Block Storage,30.000 IOPS,Block Storage mit 30.000 IOPS ermöglicht hochperformante Datenzugriffe für anspruchsvolle Anwendungen in der Cloud.,True,True,False
